City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,lycksele,64.5954,18.6735,-7.07,93,100,1.03,SE,1702336253
257,daga,27.0753,89.8769,6.47,70,1,2.57,BT,1702336254
258,tobruk,32.0836,23.9764,16.09,68,0,2.23,LY,1702336254
259,ulsteinvik,62.3432,5.8487,0.6,84,12,1.79,NO,1702336254
260,al jawf,29.5,38.75,16.49,84,100,2.01,SA,1702336254
261,hassi messaoud,31.6804,6.0729,15.53,35,0,5.0,DZ,1702336254
262,howrah,22.5892,88.3103,16.0,88,0,2.06,IN,1702336254
263,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,72,0.45,RU,1702336255
264,toliara,-23.35,43.6667,25.06,71,58,2.59,MG,1702336255
265,reggio calabria,38.3167,16.0833,10.74,73,8,2.92,IT,1702336255
266,neelankarai,12.9455,80.2575,25.03,88,20,1.03,IN,1702336255
267,whangarei,-35.7317,174.3239,17.44,57,80,5.51,NZ,1702336255
268,igrim,63.1906,64.4162,-24.79,89,100,4.23,RU,1702336255
269,fale old settlement,-9.3852,-171.2468,28.79,77,100,9.77,TK,1702336256
270,aldama,22.9167,-98.0667,19.72,55,100,1.84,MX,1702336175
271,faya-largeau,17.9257,19.1043,18.28,36,0,7.9,TD,1702336256
272,new norfolk,-42.7826,147.0587,20.95,35,90,0.88,AU,1702336235
273,conceicao da barra,-18.5933,-39.7322,25.66,82,61,6.76,BR,1702336000
274,pisco,-13.7,-76.2167,21.03,78,0,9.77,PE,1702336184
275,ulaangom,49.9811,92.0667,-25.66,91,100,1.29,MN,1702336256
276,queenstown,-31.8976,26.8753,14.96,81,40,0.72,ZA,1702336257
277,jefferson,38.1834,-85.65,4.94,58,0,2.57,US,1702336257
278,linden,6.0,-58.3,25.79,79,93,2.15,GY,1702336147
279,jayapura,-2.5333,140.7,28.66,78,100,2.76,ID,1702336173
280,irtyshsk,53.3333,75.4572,-27.8,91,6,6.02,KZ,1702336257
281,toamasina,-18.1667,49.3833,24.0,94,40,0.0,MG,1702336257
282,daru,-9.0763,143.2092,28.05,76,52,3.88,PG,1702336257
283,necochea,-38.5473,-58.7368,23.9,45,56,7.53,AR,1702336258
284,nikolayevsk-on-amure,53.1406,140.73,-25.31,88,14,2.26,RU,1702336258
285,manokwari,-0.8667,134.0833,27.53,73,100,2.23,ID,1702336258
286,alofi,-19.0595,-169.9187,27.94,74,75,3.6,NU,1702336258
287,punta del este,-34.9667,-54.95,22.76,84,75,5.66,UY,1702336258
288,bardai,11.65,7.2333,15.46,31,0,4.27,NG,1702336258
289,baruun-urt,46.6806,113.2792,-23.51,99,99,1.43,MN,1702336142
290,recife,-8.0539,-34.8811,28.02,69,40,3.6,BR,1702336025
291,yanjiang,30.1211,104.6481,10.0,80,26,1.68,CN,1702336259
292,marrakesh,31.6315,-8.0083,18.04,48,0,4.12,MA,1702336200
293,reggane,26.7158,0.1714,17.48,32,15,5.17,DZ,1702336259
294,rathdrum,47.8137,-116.892,3.22,94,100,4.12,US,1702336259
295,grand-bassam,5.2118,-3.7388,26.98,82,17,3.11,CI,1702336259
296,hadibu,12.65,54.0333,24.33,70,64,4.6,YE,1702336259
297,carnarvon,-24.8667,113.6333,26.17,31,0,2.88,AU,1702336259
298,mermoz boabab,14.7065,-17.4758,24.31,74,2,6.08,SN,1702336260
299,island harbour,50.724,-1.2758,12.48,93,29,2.24,GB,1702336260
300,barkly west,-28.5354,24.5215,18.15,61,5,2.95,ZA,1702336260
301,cambria,35.5641,-121.0808,22.36,73,69,0.89,US,1702336260
302,salalah,17.0151,54.0924,22.05,28,0,3.09,OM,1702336209
303,brainerd,46.358,-94.2008,-1.12,85,100,6.17,US,1702336260
304,cabedelo,-6.9811,-34.8339,26.37,75,2,5.98,BR,1702336151
305,aguas formosas,-17.0822,-40.9358,25.54,43,77,3.78,BR,1702336083
306,utrik,11.2278,169.8474,27.15,71,21,9.14,MH,1702336261
307,kuta,-8.7233,115.1723,26.97,83,20,2.68,ID,1702336261
308,okha,53.5739,142.9478,-20.64,86,62,9.78,RU,1702336261
309,pangody,65.85,74.4859,-27.21,89,100,5.41,RU,1702336261
310,trairi,-3.2778,-39.2689,26.7,76,11,5.05,BR,1702335971
311,farasan,16.7022,42.1183,27.66,70,16,7.07,SA,1702336262
312,ghadamis,30.1337,9.5007,13.28,43,0,2.91,LY,1702336262
313,posse,-14.0931,-46.3694,25.87,51,91,0.25,BR,1702336262
314,visakhapatnam,17.69,83.2093,22.18,78,60,2.46,IN,1702336208
315,usinsk,65.9939,57.5281,-18.24,94,100,12.2,RU,1702336245
316,sola,-13.8833,167.55,26.4,62,100,7.11,VU,1702336262
317,dolbeau-mistassini,48.8763,-72.212,-6.33,80,100,6.22,CA,1702336061
318,pauri,30.15,78.7833,4.37,44,0,1.94,IN,1702336262
319,namibe,-15.1961,12.1522,21.95,72,57,3.29,AO,1702336263
320,koshki,54.2091,50.4677,-19.6,83,61,7.41,RU,1702336263
321,akjoujt,19.6969,-14.4164,21.61,15,49,3.99,MR,1702336263
322,nuku'alofa,-21.1333,-175.2,29.19,58,20,5.14,TO,1702336263
323,parry sound,45.3501,-80.033,-2.18,68,55,4.38,CA,1702336263
324,constantia,44.1833,28.65,2.38,81,38,3.8,RO,1702336263
325,hotan,37.0997,79.9269,0.99,33,100,0.91,CN,1702336264
326,sabang,5.8933,95.3214,27.08,78,90,1.62,ID,1702336264
327,ouadda,8.0777,22.4007,21.15,26,31,2.35,CF,1702336264
328,nikki,9.9401,3.2108,21.51,22,1,2.27,BJ,1702336264
329,recani,31.2846,-4.2688,15.79,37,40,1.71,MA,1702336264
330,vorkuta,67.5,64.0,-17.92,88,100,6.22,RU,1702336140
331,pago pago,-14.2781,-170.7025,27.07,87,100,9.6,AS,1702336264
332,folkston,30.8305,-82.0098,9.45,74,0,1.77,US,1702336265
333,luwuk,-0.9516,122.7875,27.65,78,91,0.98,ID,1702336265
334,basco,20.4487,121.9702,26.32,76,57,5.66,PH,1702336265
335,colonia,50.9333,6.95,9.42,82,100,3.09,DE,1702336265
336,nanga eboko,4.6833,12.3667,20.15,66,57,0.84,CM,1702336266
337,vilhena,-12.7406,-60.1458,23.31,84,100,0.95,BR,1702336266
338,elista,46.3078,44.2558,-5.71,86,100,10.0,RU,1702335978
339,katsuren-haebaru,26.3369,127.8719,22.21,88,100,3.09,JP,1702336267
340,ambovombe,-25.1667,46.0833,23.79,89,91,1.21,MG,1702336044
341,magistral'nyy,56.1725,107.4458,-37.02,100,48,0.37,RU,1702336267
342,kaiapoi,-43.3783,172.6401,9.83,92,75,5.14,NZ,1702336202
343,axim,4.8699,-2.2405,26.81,83,14,2.56,GH,1702336268
344,maralal,1.0968,36.698,14.38,87,81,1.73,KE,1702336268
345,saint-jean-de-monts,46.7833,-2.0667,13.39,98,100,7.93,FR,1702336268
346,al qadarif,14.0349,35.3834,25.84,29,65,3.87,SD,1702336268
347,mount isa,-20.7333,139.5,27.87,34,0,5.66,AU,1702336268
348,trinidad,-14.8333,-64.9,28.58,70,97,1.6,BO,1702336112
349,paidha,2.4167,30.9855,17.21,81,24,2.69,UG,1702336269
350,vilyuchinsk,52.9306,158.4028,-8.19,84,17,3.5,RU,1702336269
351,sake,-1.5736,29.045,16.89,95,100,0.22,CD,1702336269
352,dunedin,-45.8742,170.5036,11.56,61,90,6.71,NZ,1702336137
353,metlili chaamba,32.2667,3.6333,15.82,37,40,4.38,DZ,1702336269
354,mwinilunga,-11.7358,24.4293,17.96,97,100,0.56,ZM,1702336269
355,weno,7.4515,151.8468,26.97,94,100,2.06,FM,1702336270
356,ormara,25.2088,64.6357,23.42,26,86,3.97,PK,1702336270
357,ambato boeny,-16.4667,46.7167,26.84,80,63,1.66,MG,1702336270
358,xingtai,37.0631,114.4942,-6.3,96,54,1.31,CN,1702336270
359,namsos,64.4662,11.4957,-4.97,93,32,5.14,NO,1702336270
360,karoi,-16.8099,29.6925,22.36,62,92,1.91,ZW,1702336270
361,barrouallie,13.2333,-61.2667,25.32,83,17,4.81,VC,1702336271
362,san pedro pochutla,15.7333,-96.4667,27.84,58,79,2.18,MX,1702336153
363,bazarnyye mataki,54.8833,49.9333,-18.88,86,81,5.36,RU,1702336271
